purpose,total_loans,total_loan_amnt,avg_int_rate,default_rate_pct
small_business,15987,251519950.0,15.94,31.66
renewable_energy,954,9694025.0,15.2,25.16
moving,9747,77272425.0,15.17,25.14
house,7527,116268725.0,15.44,24.29
medical,15957,144190500.0,14.05,23.53
other,80215,794392200.0,14.63,22.97
debt_consolidation,796439,12165311825.0,13.67,22.64
vacation,9271,57753475.0,13.73,20.83
educational,423,2798600.0,12.12,20.8
major_purchase,30225,360860475.0,12.81,20.42
home_improvement,89487,1271079975.0,12.84,19.38
credit_card,300459,4456140750.0,11.83,18.27
car,14874,132306300.0,12.12,15.99
wedding,2350,24594750.0,14.16,12.43
